analysis_type,target,feature,lag_days,correlation,abs_correlation,n_obs
levels,coffee_c,rainfall,-141,0.0009987599070423164,0.0009987599070423164,4095
levels,coffee_c,rainfall,-140,0.008238642066442996,0.008238642066442996,4096
levels,coffee_c,rainfall,-139,0.010927163236635075,0.010927163236635075,4097
levels,coffee_c,rainfall,-138,0.008041858289242108,0.008041858289242108,4098
levels,coffee_c,rainfall,-137,-0.003427647198829852,0.003427647198829852,4098
levels,coffee_c,rainfall,-136,-0.004003324336465535,0.004003324336465535,4098
levels,coffee_c,rainfall,-135,0.002354889707768351,0.002354889707768351,4099
levels,coffee_c,rainfall,-134,0.001321263747879301,0.001321263747879301,4100
levels,coffee_c,rainfall,-133,0.006610317756177365,0.006610317756177365,4101
levels,coffee_c,rainfall,-132,0.00958330711029001,0.00958330711029001,4102
levels,coffee_c,rainfall,-131,0.0041151104908167925,0.0041151104908167925,4103
levels,coffee_c,rainfall,-130,-0.010181929835623311,0.010181929835623311,4103
levels,coffee_c,rainfall,-129,-0.010406094711632227,0.010406094711632227,4103
levels,coffee_c,rainfall,-128,-0.0008786272536738008,0.0008786272536738008,4104
levels,coffee_c,rainfall,-127,0.001067940090906049,0.001067940090906049,4105
levels,coffee_c,rainfall,-126,0.010485729873885189,0.010485729873885189,4106
levels,coffee_c,rainfall,-125,0.015266920800455813,0.015266920800455813,4107
levels,coffee_c,rainfall,-124,0.009825016027016069,0.009825016027016069,4108
levels,coffee_c,rainfall,-123,-0.009241216652981438,0.009241216652981438,4108
levels,coffee_c,rainfall,-122,-0.016589012667624303,0.016589012667624303,4108
levels,coffee_c,rainfall,-121,-0.006258929912637325,0.006258929912637325,4109
levels,coffee_c,rainfall,-120,-0.0017748824667910136,0.0017748824667910136,4110
levels,coffee_c,rainfall,-119,0.009562696687744184,0.009562696687744184,4111
levels,coffee_c,rainfall,-118,0.008655925127719009,0.008655925127719009,4111
levels,coffee_c,rainfall,-117,0.0027486490018942588,0.0027486490018942588,4112
levels,coffee_c,rainfall,-116,-0.014962227572309666,0.014962227572309666,4112
levels,coffee_c,rainfall,-115,-0.014650051022996612,0.014650051022996612,4112
levels,coffee_c,rainfall,-114,-0.005048337843472674,0.005048337843472674,4113
levels,coffee_c,rainfall,-113,0.0017933832814380117,0.0017933832814380117,4114
levels,coffee_c,rainfall,-112,0.00978137105588807,0.00978137105588807,4115
levels,coffee_c,rainfall,-111,0.013488520773063003,0.013488520773063003,4116
levels,coffee_c,rainfall,-110,0.006429610373711872,0.006429610373711872,4117
levels,coffee_c,rainfall,-109,-0.01398101705525221,0.01398101705525221,4117
levels,coffee_c,rainfall,-108,-0.015042610387870149,0.015042610387870149,4117
levels,coffee_c,rainfall,-107,-0.008759416510436121,0.008759416510436121,4118
levels,coffee_c,rainfall,-106,0.0011847441802267343,0.0011847441802267343,4119
levels,coffee_c,rainfall,-105,0.008291345463671648,0.008291345463671648,4120
levels,coffee_c,rainfall,-104,0.008066755740184249,0.008066755740184249,4121
levels,coffee_c,rainfall,-103,-0.002236071726018247,0.002236071726018247,4122
levels,coffee_c,rainfall,-102,-0.017832288372831986,0.017832288372831986,4122
levels,coffee_c,rainfall,-101,-0.015326254065189612,0.015326254065189612,4122
levels,coffee_c,rainfall,-100,-0.007792282465251235,0.007792282465251235,4123
levels,coffee_c,rainfall,-99,-0.003881588532712844,0.003881588532712844,4124
levels,coffee_c,rainfall,-98,0.005854898423123671,0.005854898423123671,4125
levels,coffee_c,rainfall,-97,0.0042483196999927916,0.0042483196999927916,4126
levels,coffee_c,rainfall,-96,0.0002074438799027878,0.0002074438799027878,4127
levels,coffee_c,rainfall,-95,-0.018195729196295016,0.018195729196295016,4127
levels,coffee_c,rainfall,-94,-0.015367290807737317,0.015367290807737317,4127
levels,coffee_c,rainfall,-93,-0.007896016759201676,0.007896016759201676,4128
levels,coffee_c,rainfall,-92,0.0004614741401948625,0.0004614741401948625,4129
levels,coffee_c,rainfall,-91,0.008757291479028881,0.008757291479028881,4130
levels,coffee_c,rainfall,-90,0.005426225433064796,0.005426225433064796,4131
levels,coffee_c,rainfall,-89,0.0032231959892736173,0.0032231959892736173,4132
levels,coffee_c,rainfall,-88,-0.01914049637640175,0.01914049637640175,4132
levels,coffee_c,rainfall,-87,-0.016835881812227223,0.016835881812227223,4132
levels,coffee_c,rainfall,-86,-0.010649724082312583,0.010649724082312583,4132
levels,coffee_c,rainfall,-85,-0.0029651614385943414,0.0029651614385943414,4133
levels,coffee_c,rainfall,-84,0.006733159517488751,0.006733159517488751,4134
levels,coffee_c,rainfall,-83,0.005341977126992558,0.005341977126992558,4135
levels,coffee_c,rainfall,-82,-0.0007180143262902868,0.0007180143262902868,4136
levels,coffee_c,rainfall,-81,-0.01872359270661745,0.01872359270661745,4136
levels,coffee_c,rainfall,-80,-0.01766298028584044,0.01766298028584044,4136
levels,coffee_c,rainfall,-79,-0.002276727926924383,0.002276727926924383,4136
