"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2009","1,058.13","1,058.13","1,077.88","1,057.13","","0.02%"
"11/30/2009","1,057.88","1,057.13","1,069.13","1,050.63","","0.42%"
"11/29/2009","1,053.50","1,053.50","1,053.50","1,053.50","","0.02%"
"11/27/2009","1,053.25","1,048.00","1,056.63","1,035.88","","0.50%"
"11/25/2009","1,048.00","1,053.25","1,055.38","1,034.13","","0.13%"
"11/24/2009","1,046.63","1,038.63","1,046.63","1,033.38","","0.77%"
"11/23/2009","1,038.63","1,045.13","1,066.13","1,038.63","","-0.62%"
"11/22/2009","1,045.13","1,045.13","1,045.13","1,045.13","","0.02%"
"11/20/2009","1,044.88","1,045.75","1,048.88","1,031.63","","-0.08%"
"11/19/2009","1,045.75","1,028.88","1,048.63","1,024.13","","1.62%"
"11/18/2009","1,029.13","1,030.75","1,048.88","1,024.50","","-0.19%"
"11/17/2009","1,031.13","1,005.38","1,031.13","1,003.13","","2.23%"
"11/16/2009","1,008.63","985.13","1,011.63","985.13","","2.39%"
"11/15/2009","985.13","985.13","985.13","985.13","","0.00%"
"11/13/2009","985.13","990.50","1,008.88","983.63","","-0.56%"
"11/12/2009","990.63","973.38","996.25","961.88","","1.82%"
"11/11/2009","972.88","965.88","986.38","964.63","","0.75%"
"11/10/2009","965.63","963.13","973.63","952.75","","-0.49%"
"11/09/2009","970.38","956.75","974.63","956.75","","1.42%"
"11/08/2009","956.75","956.75","956.75","956.75","","0.01%"
"11/06/2009","956.63","972.38","972.38","955.38","","-1.62%"
"11/05/2009","972.38","998.63","998.63","971.63","","-2.60%"
"11/04/2009","998.38","1,011.88","1,022.38","995.50","","0.28%"
"11/02/2009","995.63","984.75","1,006.00","971.38","","2.04%"
"11/01/2009","975.75","975.75","975.75","975.75","","-0.04%"
"10/30/2009","976.13","987.00","987.00","969.25","","-1.16%"
"10/29/2009","987.63","971.88","991.13","971.88","","1.69%"
"10/28/2009","971.25","962.25","975.38","962.25","","-0.24%"
"10/27/2009","973.63","989.75","993.75","972.75","","-1.57%"
"10/26/2009","989.13","1,010.63","1,015.38","983.00","","-2.13%"
"10/25/2009","1,010.63","1,010.63","1,010.63","1,010.63","","0.05%"
"10/23/2009","1,010.13","1,009.38","1,029.13","1,002.75","","0.09%"
"10/22/2009","1,009.25","1,007.25","1,010.88","998.13","","0.21%"
"10/21/2009","1,007.13","986.63","1,016.00","986.63","","2.08%"
"10/20/2009","986.63","1,001.50","1,001.50","983.50","","-1.49%"
"10/19/2009","1,001.50","978.38","1,001.50","978.38","","2.36%"
"10/18/2009","978.38","978.38","978.38","978.38","","-0.04%"
"10/16/2009","978.75","982.25","988.00","975.00","","-0.36%"
"10/15/2009","982.25","994.38","994.38","972.88","","-1.24%"
"10/14/2009","994.63","992.25","1,008.63","988.38","","0.25%"
"10/13/2009","992.13","999.50","1,005.25","989.38","","8.07%"
"10/01/2009","918.00","924.75","932.75","914.75","76.08K","-0.97%"
"09/30/2009","927.00","916.75","931.25","906.50","81.55K","1.09%"
"09/29/2009","917.00","918.50","928.75","910.50","64.29K","-0.27%"
"09/28/2009","919.50","928.75","937.25","912.75","50.39K","-0.70%"
"09/25/2009","926.00","919.00","931.75","916.00","51.46K","0.71%"
"09/24/2009","919.50","915.50","929.75","904.50","67.08K","-0.11%"
"09/23/2009","920.50","921.50","926.00","902.00","63.07K","-0.16%"
"09/22/2009","922.00","912.50","927.25","903.25","76.72K","0.93%"
"09/21/2009","913.50","938.50","939.75","909.25","71.90K","-2.92%"
"09/18/2009","941.00","950.50","958.00","936.00","58.33K","-1.26%"
"09/17/2009","953.00","950.00","962.75","937.25","77.12K","0.26%"
"09/16/2009","950.50","959.00","960.75","928.25","92.23K","-0.99%"
"09/15/2009","960.00","906.50","977.75","901.50","136.10K","3.78%"
